2024-12-30 09:49:53.316 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.22.1-linux-x64/python-env-tools/bin/pet server
2024-12-30 09:49:53.507 [info] Discovered env: /bin/python2
2024-12-30 09:49:53.508 [info] Discovered env: /usr/bin/python2
2024-12-30 09:49:53.508 [info] Discovered env: /bin/python3
2024-12-30 09:49:53.508 [info] Discovered env: /usr/bin/python3
2024-12-30 09:49:53.510 [info] Locator Conda took 34.0867ms
2024-12-30 09:49:53.510 [info] Locator Homebrew took 8.588143ms
2024-12-30 09:49:53.510 [info] Locator LinuxGlobal took 73.535777ms
2024-12-30 09:49:53.510 [info] Locator PipEnv took 393.716µs
2024-12-30 09:49:53.510 [info] Locator Poetry took 125.284µs
2024-12-30 09:49:53.510 [info] Locator PyEnv took 4.53017ms
2024-12-30 09:49:53.510 [info] Locator Venv took 15.313µs
2024-12-30 09:49:53.510 [info] Locator VirtualEnv took 24.422µs
2024-12-30 09:49:53.510 [info] Locator VirtualEnvWrapper took 466.166µs
2024-12-30 09:49:53.510 [info] Locator GlobalVirtualEnvs took 55.648µs
2024-12-30 09:49:53.510 [info] Locator Locators took 74.044633ms
2024-12-30 09:49:53.510 [info] Locator Path took 138.723692ms
2024-12-30 09:49:53.510 [info] Locator Workspaces took 977.192µs
2024-12-30 09:49:53.510 [info] Refresh completed in 138ms
2024-12-30 09:49:53.524 [info] Resolved Python Environment /bin/python3
2024-12-30 09:50:31.078 [info] Resolved Python Environment /bin/python3
